GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAGDP2,90,"31-33, 51","Manufacturing and information ","Thousands of dollars",283630,295689,372540,467798,526398,520770,585674,533366,531294,559082,516687,410192,388510,392200,375578,337396,337977,331874,356746,368286,462708
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAGDP2,91,"...","Private goods-producing industries 2/","Thousands of dollars",(D),423180,504191,608818,696636,722466,778651,(D),(D),691725,(D),(D),(D),(D),(D),(D),515028,(D),(D),(D),710439
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAGDP2,92,"...","Private services-providing industries 3/","Thousands of dollars",(D),849168,891563,930557,965384,1011039,1066739,(D),(D),1143705,(D),(D),(D),(D),(D),(D),1321901,(D),(D),(D),1614389
 "10220","Ada, OK (Micropolitan Statistical Area)", ,CAGDP2,1,"...","All industry total ","Thousands of dollars",789727,877832,893043,927993,1043536,1105651,1202700,1366200,1288565,1360133,1429150,1427847,1462070,1562862,1622460,1730781,1831170,1952831,2035881,2035086,2186541
 "10220","Ada, OK (Micropolitan Statistical Area)", ,CAGDP2,2,"..."," Private industries ","Thousands of dollars",609089,666293,660747,672077,749197,783627,856019,980194,860445,920448,976262,970760,966361,1021282,1047188,1113306,1177415,1238355,1288207,1233513,1347891
 "10220","Ada, OK (Micropolitan Statistical Area)", ,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",507,4586,592,5169,6139,2452,19500,(D),24554,31577,22046,7957,2828,5371,3391,3849,3902,3597,2365,(D),1827
 "10220","Ada, OK (Micropolitan Statistical Area)", ,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",24706,28763,28033,37777,64390,56152,76994,128508,58564,82470,76031,66758,73078,91330,56424,55951,71582,98809,91358,57617,(D)
 "10220","Ada, OK (Micropolitan Statistical Area)", ,CAGDP2,10,"22","  Utilities ","Thousands of dollars",6434,6771,6736,7009,7048,7968,8271,(D),9399,10071,10381,10355,11106,11883,11935,13420,13698,14383,14608,(D),(D)
 "10220","Ada, OK (Micropolitan Statistical Area)", ,CAGDP2,11,"23","  Construction ","Thousands of dollars",23424,26956,25534,29814,32273,36838,39683,48321,40569,41902,51222,50346,45097,43893,48352,56657,49779,48651,54595,46610,47270
 "10220","Ada, OK (Micropolitan Statistical Area)", ,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",128529,145115,124016,100440,110232,118069,124575,131002,111505,112164,113944,112175,120192,129115,127908,128838,132203,139984,151364,135994,150128
 "10220","Ada, OK (Micropolitan Statistical Area)", ,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",51922,62000,56578,59264,70844,77270,85301,87857,76795,82839,85964,84530,89760,98551,98816,97495,98512,107841,117294,105652,117702
 "10220","Ada, OK (Micropolitan Statistical Area)", ,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",76607,83116,67438,41177,39388,40799,39274,43144,34710,29325,27980,27644,30432,30564,29092,31343,33691,32143,34070,30342,32426
 "10220","Ada, OK (Micropolitan Statistical Area)", ,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",42333,42711,40895,37603,41762,47523,51978,56719,49605,50828,57149,58614,66612,66653,57296,46723,48159,52083,60634,54840,63792
 "10220","Ada, OK (Micropolitan Statistical Area)", ,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",66766,67830,71582,70395,75447,79985,80964,82174,80592,80019,81147,82558,85988,87784,89400,87008,88358,97958,102731,109525,123119
 "10220","Ada, OK (Micropolitan Statistical Area)", ,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",6391,5504,7409,14137,18258,20750,17365,19897,21374,23478,31788,34442,29150,29279,40916,61598,58152,62187,54938,60200,(D)
 "10220","Ada, OK (Micropolitan Statistical Area)", ,CAGDP2,45,"51","  Information ","Thousands of dollars",12146,12470,12011,13066,10201,9492,9929,11266,11408,11650,12208,20008,26166,28253,70098,99455,122288,120340,118488,116521,115840
 "10220","Ada, OK (Micropolitan Statistical Area)", ,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",102214,112856,117050,123776,134165,135461,145403,160125,172176,182592,201818,216826,196136,213848,215573,221596,229093,235633,258307,261338,288807
 "10220","Ada, OK (Micropolitan Statistical Area)", ,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",38297,43211,44010,41377,43324,42960,41769,41266,42804,44195,46956,50421,44104,51287,52447,54009,55376,61388,62745,65448,87430
